1789716900.002283 server started (2187779): version 3.4, socket /tmp/tmux-1008/default, protocol 8
1789716900.002296 on Linux 7.0.0-28-generic #28~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Wed Jul  1 15:50:57 UTC 2
1789716900.002301 using libevent 2.1.12-stable poll
1789716900.002303 using ncurses 6.4 20240113
1789716900.005586 args_parse: 3 = o (type STRING)
1789716900.005589 args_parse: 4 = select-pane -t :.+ (type COMMANDS)
1789716900.005593 cmd_parse_build_commands: bind-key -N "Select the next pane" o { select-pane -t :.+ }
1789716900.005596 cmdq_get_command: [bind-key/0x60e08004a400] group 378
1789716900.005598 cmdq_append <global>: [bind-key/0x60e08004a400]
1789716900.005600 yylex_token: end at WS
1789716900.005601 yylex_token: bind
1789716900.005603 yylex_token: end at WS
1789716900.005605 yylex_token: -N
1789716900.005607 yylex_token: end at WS
1789716900.005609 yylex_token: Customize options
1789716900.005610 yylex_token: end at WS
1789716900.005611 yylex_token: C
1789716900.005613 yylex_token: end at WS
1789716900.005615 yylex_token: customize-mode
1789716900.005616 yylex_token: end at WS
1789716900.005617 yylex_token: -Z
1789716900.005620 cmd_parse_build_commands 0:0: bind
1789716900.005621 cmd_parse_build_commands 0:1: -N
1789716900.005623 cmd_parse_build_commands 0:2: Customize options
1789716900.005625 cmd_parse_build_commands 0:3: C
1789716900.005627 cmd_parse_build_commands 0:4 0:0: customize-mode
1789716900.005628 cmd_parse_build_commands 0:4 0:1: -Z
1789716900.005631 cmd_parse_build_commands 0:0: customize-mode
1789716900.005632 cmd_parse_build_commands 0:1: -Z
1789716900.005634 args_parse_flags: next -Z
1789716900.005636 args_parse_flags: -Z
1789716900.005638 args_parse: flags end at 2 of 2
1789716900.005640 cmd_parse_build_commands: customize-mode -Z
1789716900.005642 args_parse_flags: next -N
1789716900.005644 args_parse_flag_argument: -N = Customize options
1789716900.005646 args_parse_flags: next C
1789716900.005647 args_parse: flags end at 3 of 5
1789716900.005649 args_parse: 3 = C (type STRING)
1789716900.005653 args_parse: 4 = customize-mode -Z (type COMMANDS)
1789716900.005657 cmd_parse_build_commands: bind-key -N "Customize options" C { customize-mode -Z }
1789716900.005660 cmdq_get_command: [bind-key/0x60e08004a9f0] group 386
1789716900.005662 cmdq_append <global>: [bind-key/0x60e08004a9f0]
1789716900.005664 yylex_token: end at WS
1789716900.005665 yylex_token: bind
1789716900.005667 yylex_token: end at WS
1789716900.005669 yylex_token: -N
1789716900.005671 yylex_token: end at WS
1789716900.005673 yylex_token: Select the previous window
1789716900.005675 yylex_token: end at WS
1789716900.005676 yylex_token: p
1789716900.005678 yylex_token: end at WS
1789716900.005679 yylex_token: previous-window
1789716900.005681 cmd_parse_build_commands 0:0: bind
1789716900.005683 cmd_parse_build_commands 0:1: -N
1789716900.005685 cmd_parse_build_commands 0:2: Select the previous window
1789716900.005687 cmd_parse_build_commands 0:3: p
1789716900.005689 cmd_parse_build_commands 0:4 0:0: previous-window
1789716900.005691 cmd_parse_build_commands 0:0: previous-window
1789716900.005694 args_parse: flags end at 1 of 1
1789716900.005695 cmd_parse_build_commands: previous-window
1789716900.005698 args_parse_flags: next -N
1789716900.005699 args_parse_flag_argument: -N = Select the previous window
1789716900.005701 args_parse_flags: next p
1789716900.005703 args_parse: flags end at 3 of 5
1789716900.005704 args_parse: 3 = p (type STRING)
1789716900.005706 args_parse: 4 = previous-window (type COMMANDS)
1789716900.005710 cmd_parse_build_commands: bind-key -N "Select the previous window" p { previous-window }
1789716900.005713 cmdq_get_command: [bind-key/0x60e08004adf0] group 394
1789716900.005715 cmdq_append <global>: [bind-key/0x60e08004adf0]
1789716900.005716 yylex_token: end at WS
1789716900.005718 yylex_token: bind
1789716900.005720 yylex_token: end at WS
1789716900.005721 yylex_token: -N
1789716900.005723 yylex_token: end at WS
1789716900.005725 yylex_token: Display pane numbers
1789716900.005726 yylex_token: end at WS
1789716900.005727 yylex_token: q
1789716900.005730 yylex_token: end at WS
1789716900.005731 yylex_token: display-panes
1789716900.005733 cmd_parse_build_commands 0:0: bind
1789716900.005735 cmd_parse_build_commands 0:1: -N
1789716900.005737 cmd_parse_build_commands 0:2: Display pane numbers
1789716900.005739 cmd_parse_build_commands 0:3: q
1789716900.005740 cmd_parse_build_commands 0:4 0:0: display-panes
1789716900.005742 cmd_parse_build_commands 0:0: display-panes
1789716900.005745 args_parse: flags end at 1 of 1
1789716900.005747 cmd_parse_build_commands: display-panes
1789716900.005748 args_parse_flags: next -N
1789716900.005750 args_parse_flag_argument: -N = Display pane numbers
1789716900.005752 args_parse_flags: next q
1789716900.005754 args_parse: flags end at 3 of 5
1789716900.005756 args_parse: 3 = q (type STRING)
1789716900.005758 args_parse: 4 = display-panes (type COMMANDS)
1789716900.005761 cmd_parse_build_commands: bind-key -N "Display pane numbers" q { display-panes }
1789716900.005764 cmdq_get_command: [bind-key/0x60e08004b2f0] group 402
1789716900.005766 cmdq_append <global>: [bind-key/0x60e08004b2f0]
1789716900.005769 yylex_token: end at WS
1789716900.005771 yylex_token: bind
1789716900.005772 yylex_token: end at WS
1789716900.005773 yylex_token: -N
1789716900.005776 yylex_token: end at WS
1789716900.005777 yylex_token: Redraw the current client
1789716900.005779 yylex_token: end at WS
1789716900.005780 yylex_token: r
1789716900.005782 yylex_token: end at WS
1789716900.005783 yylex_token: refresh-client
1789716900.005785 cmd_parse_build_commands 0:0: bind
1789716900.005787 cmd_parse_build_commands 0:1: -N
1789716900.005789 cmd_parse_build_commands 0:2: Redraw the current client
1789716900.005791 cmd_parse_build_commands 0:3: r
1789716900.005792 cmd_parse_build_commands 0:4 0:0: refresh-client
1789716900.005795 cmd_parse_build_commands 0:0: refresh-client
1789716900.005798 args_parse: flags end at 1 of 1
1789716900.005800 cmd_parse_build_commands: refresh-client
1789716900.005802 args_parse_flags: next -N
1789716900.005805 args_parse_flag_argument: -N = Redraw the current client
1789716900.005807 args_parse_flags: next r
1789716900.005809 args_parse: flags end at 3 of 5
1789716900.005810 args_parse: 3 = r (type STRING)
1789716900.005812 args_parse: 4 = refresh-client (type COMMANDS)
1789716900.005816 cmd_parse_build_commands: bind-key -N "Redraw the current client" r { refresh-client }
1789716900.005818 cmdq_get_command: [bind-key/0x60e08004ba70] group 410
1789716900.005820 cmdq_append <global>: [bind-key/0x60e08004ba70]
1789716900.005822 yylex_token: end at WS
1789716900.005824 yylex_token: bind
1789716900.005825 yylex_token: end at WS
1789716900.005827 yylex_token: -N
1789716900.005830 yylex_token: end at WS
1789716900.005831 yylex_token: Choose a session from a list
1789716900.005832 yylex_token: end at WS
1789716900.005834 yylex_token: s
1789716900.005836 yylex_token: end at WS
1789716900.005838 yylex_token: choose-tree
1789716900.005839 yylex_token: end at WS
1789716900.005841 yylex_token: -Zs
1789716900.005843 cmd_parse_build_commands 0:0: bind
1789716900.005845 cmd_parse_build_commands 0:1: -N
1789716900.005846 cmd_parse_build_commands 0:2: Choose a session from a list
1789716900.005849 cmd_parse_build_commands 0:3: s
1789716900.005850 cmd_parse_build_commands 0:4 0:0: choose-tree
1789716900.005852 cmd_parse_build_commands 0:4 0:1: -Zs
1789716900.005854 cmd_parse_build_commands 0:0: choose-tree
1789716900.005856 cmd_parse_build_commands 0:1: -Zs
1789716900.005857 args_parse_flags: next -Zs
1789716900.005859 args_parse_flags: -Z
1789716900.005861 args_parse_flags: -s
1789716900.005862 args_parse: flags end at 2 of 2
1789716900.005865 cmd_parse_build_commands: choose-tree -Zs
1789716900.005866 args_parse_flags: next -N
1789716900.005868 args_parse_flag_argument: -N = Choose a session from a list
1789716900.005870 args_parse_flags: next s
1789716900.005872 args_parse: flags end at 3 of 5
1789716900.005873 args_parse: 3 = s (type STRING)
1789716900.005876 args_parse: 4 = choose-tree -Zs (type COMMANDS)
1789716900.005880 cmd_parse_build_commands: bind-key -N "Choose a session from a list" s { choose-tree -Zs }
1789716900.005882 cmdq_get_command: [bind-key/0x60e08004bfb0] group 418
1789716900.005884 cmdq_append <global>: [bind-key/0x60e08004bfb0]
1789716900.005886 yylex_token: end at WS
1789716900.005887 yylex_token: bind
1789716900.005906 yylex_token: end at WS
1789716900.005908 yylex_token: -N
1789716900.005910 yylex_token: end at WS
1789716900.005912 yylex_token: Show a clock
1789716900.005913 yylex_token: end at WS
1789716900.005914 yylex_token: t
1789716900.005916 yylex_token: end at WS
1789716900.005917 yylex_token: clock-mode
1789716900.005919 cmd_parse_build_commands 0:0: bind
1789716900.005921 cmd_parse_build_commands 0:1: -N
1789716900.005922 cmd_parse_build_commands 0:2: Show a clock
1789716900.005924 cmd_parse_build_commands 0:3: t
1789716900.005926 cmd_parse_build_commands 0:4 0:0: clock-mode
1789716900.005927 cmd_parse_build_commands 0:0: clock-mode
1789716900.005929 args_parse: flags end at 1 of 1
1789716900.005931 cmd_parse_build_commands: clock-mode
1789716900.005933 args_parse_flags: next -N
1789716900.005934 args_parse_flag_argument: -N = Show a clock
1789716900.005936 args_parse_flags: next t
1789716900.005938 args_parse: flags end at 3 of 5
1789716900.005939 args_parse: 3 = t (type STRING)
1789716900.005941 args_parse: 4 = clock-mode (type COMMANDS)
1789716900.005944 cmd_parse_build_commands: bind-key -N "Show a clock" t { clock-mode }
1789716900.005947 cmdq_get_command: [bind-key/0x60e08004c850] group 426
1789716900.005948 cmdq_append <global>: [bind-key/0x60e08004c850]
1789716900.005952 yylex_token: end at WS
1789716900.005953 yylex_token: bind
1789716900.005956 yylex_token: end at WS
1789716900.005957 yylex_token: -N
1789716900.005959 yylex_token: end at WS
1789716900.005960 yylex_token: Choose a window from a list
1789716900.005962 yylex_token: end at WS
1789716900.005963 yylex_token: w
1789716900.005965 yylex_token: end at WS
1789716900.005966 yylex_token: choose-tree
1789716900.005969 yylex_token: end at WS
1789716900.005971 yylex_token: -Zw
1789716900.005973 cmd_parse_build_commands 0:0: bind
1789716900.005975 cmd_parse_build_commands 0:1: -N
1789716900.005976 cmd_parse_build_commands 0:2: Choose a window from a list
1789716900.005978 cmd_parse_build_commands 0:3: w
1789716900.005980 cmd_parse_build_commands 0:4 0:0: choose-tree
1789716900.005981 cmd_parse_build_commands 0:4 0:1: -Zw
1789716900.005984 cmd_parse_build_commands 0:0: choose-tree
1789716900.005985 cmd_parse_build_commands 0:1: -Zw
1789716900.005987 args_parse_flags: next -Zw
1789716900.005988 args_parse_flags: -Z
1789716900.005990 args_parse_flags: -w
1789716900.005991 args_parse: flags end at 2 of 2
1789716900.005993 cmd_parse_build_commands: choose-tree -Zw
1789716900.005995 args_parse_flags: next -N
1789716900.005996 args_parse_flag_argument: -N = Choose a window from a list
1789716900.005998 args_parse_flags: next w
1789716900.006000 args_parse: flags end at 3 of 5
1789716900.006001 args_parse: 3 = w (type STRING)
1789716900.006003 args_parse: 4 = choose-tree -Zw (type COMMANDS)
1789716900.006006 cmd_parse_build_commands: bind-key -N "Choose a window from a list" w { choose-tree -Zw }
1789716900.006009 cmdq_get_command: [bind-key/0x60e08004cd60] group 434
1789716900.006010 cmdq_append <global>: [bind-key/0x60e08004cd60]
1789716900.006013 yylex_token: end at WS
1789716900.006014 yylex_token: bind
1789716900.006015 yylex_token: end at WS
1789716900.006017 yylex_token: -N
1789716900.006019 yylex_token: end at WS
1789716900.006020 yylex_token: Kill the active pane
1789716900.006022 yylex_token: end at WS
1789716900.006023 yylex_token: x
1789716900.006025 yylex_token: end at WS
1789716900.006026 yylex_token: confirm-before
1789716900.006028 yylex_token: end at WS
1789716900.006029 yylex_token: -pkill-pane #P? (y/n)
1789716900.006031 yylex_token: end at WS
1789716900.006032 yylex_token: kill-pane
1789716900.006034 cmd_parse_build_commands 0:0: bind
1789716900.006036 cmd_parse_build_commands 0:1: -N
1789716900.006038 cmd_parse_build_commands 0:2: Kill the active pane
1789716900.006039 cmd_parse_build_commands 0:3: x
1789716900.006041 cmd_parse_build_commands 0:4 0:0: confirm-before
1789716900.006043 cmd_parse_build_commands 0:4 0:1: -pkill-pane #P? (y/n)
1789716900.006044 cmd_parse_build_commands 0:4 0:2: kill-pane
1789716900.006046 cmd_parse_build_commands 0:0: confirm-before
1789716900.006048 cmd_parse_build_commands 0:1: -pkill-pane #P? (y/n)
1789716900.006052 cmd_parse_build_commands 0:2: kill-pane
1789716900.006054 args_parse_flags: next -pkill-pane #P? (y/n)
1789716900.006056 args_parse_flag_argument: -p = kill-pane #P? (y/n)
1789716900.006058 args_parse_flags: next kill-pane
1789716900.006059 args_parse: flags end at 2 of 3
1789716900.006061 args_parse: 2 = kill-pane (type STRING)
1789716900.006064 cmd_parse_build_commands: confirm-before -p "kill-pane #P? (y/n)" kill-pane
1789716900.006066 args_parse_flags: next -N
1789716900.006067 args_parse_flag_argument: -N = Kill the active pane
1789716900.006068 args_parse_flags: next x
1789716900.006070 args_parse: flags end at 3 of 5
1789716900.006072 args_parse: 3 = x (type STRING)
1789716900.006074 args_parse: 4 = confirm-before -p "kill-pane #P? (y/n)" kill-pane (type COMMANDS)
1789716900.006079 cmd_parse_build_commands: bind-key -N "Kill the active pane" x { confirm-before -p "kill-pane #P? (y/n)" kill-pane }
1789716900.006082 cmdq_get_command: [bind-key/0x60e08004d700] group 442
1789716900.006083 cmdq_append <global>: [bind-key/0x60e08004d700]
1789716900.006087 yylex_token: end at WS
1789716900.006089 yylex_token: bind
1789716900.006091 yylex_token: end at WS
1789716900.006092 yylex_token: -N
1789716900.006093 yylex_token: end at WS
1789716900.006095 yylex_token: Zoom the active pane
1789716900.006097 yylex_token: end at WS
1789716900.006098 yylex_token: z
1789716900.006100 yylex_token: end at WS
1789716900.006102 yylex_token: resize-pane
1789716900.006103 yylex_token: end at WS
1789716900.006105 yylex_token: -Z
1789716900.006106 cmd_parse_build_commands 0:0: bind
1789716900.006109 cmd_parse_build_commands 0:1: -N
1789716900.006111 cmd_parse_build_commands 0:2: Zoom the active pane
1789716900.006113 cmd_parse_build_commands 0:3: z
1789716900.006115 cmd_parse_build_commands 0:4 0:0: resize-pane
1789716900.006116 cmd_parse_build_commands 0:4 0:1: -Z
1789716900.006118 cmd_parse_build_commands 0:0: resize-pane
1789716900.006120 cmd_parse_build_commands 0:1: -Z
1789716900.006122 args_parse_flags: next -Z
1789716900.006124 args_parse_flags: -Z
1789716900.006126 args_parse: flags end at 2 of 2
1789716900.006128 cmd_parse_build_commands: resize-pane -Z
1789716900.006130 args_parse_flags: next -N
1789716900.006131 args_parse_flag_argument: -N = Zoom the active pane
1789716900.006133 args_parse_flags: next z
1789716900.006135 args_parse: flags end at 3 of 5
1789716900.006136 args_parse: 3 = z (type STRING)
1789716900.006138 args_parse: 4 = resize-pane -Z (type COMMANDS)
1789716900.006141 cmd_parse_build_commands: bind-key -N "Zoom the active pane" z { resize-pane -Z }
1789716900.006144 cmdq_get_command: [bind-key/0x60e08004dbf0] group 450
1789716900.006145 cmdq_append <global>: [bind-key/0x60e08004dbf0]
1789716900.006147 yylex_token: end at WS
1789716900.006149 yylex_token: bind
1789716900.006150 yylex_token: end at WS
1789716900.006152 yylex_token: -N
1789716900.006154 yylex_token: end at WS
1789716900.006156 yylex_token: Swap the active pane with the pane above
1789716900.006157 yylex_token: end at WS
1789716900.006159 yylex_token: {
1789716900.006161 yylex_token: end at WS
1789716900.006162 yylex_token: swap-pane
1789716900.006164 yylex_token: end at WS
1789716900.006165 yylex_token: -U
1789716900.006167 cmd_parse_build_commands 0:0: bind
1789716900.006169 cmd_parse_build_commands 0:1: -N
1789716900.006170 cmd_parse_build_commands 0:2: Swap the active pane with the pane above
1789716900.006172 cmd_parse_build_commands 0:3: {
1789716900.006174 cmd_parse_build_commands 0:4 0:0: swap-pane
1789716900.006175 cmd_parse_build_commands 0:4 0:1: -U
1789716900.006177 cmd_parse_build_commands 0:0: swap-pane
1789716900.006179 cmd_parse_build_commands 0:1: -U
1789716900.006182 args_parse_flags: next -U
1789716900.006201 args_parse_flags: -U
1789716900.006203 args_parse: flags end at 2 of 2
1789716900.006205 cmd_parse_build_commands: swap-pane -U
1789716900.006206 args_parse_flags: next -N
1789716900.006208 args_parse_flag_argument: -N = Swap the active pane with the pane above
1789716900.006209 args_parse_flags: next {
1789716900.006211 args_parse: flags end at 3 of 5
1789716900.006213 args_parse: 3 = { (type STRING)
1789716900.006214 args_parse: 4 = swap-pane -U (type COMMANDS)
1789716900.006218 cmd_parse_build_commands: bind-key -N "Swap the active pane with the pane above" \\{ { swap-pane -U }
1789716900.006220 cmdq_get_command: [bind-key/0x60e08004e0e0] group 458
1789716900.006222 cmdq_append <global>: [bind-key/0x60e08004e0e0]
1789716900.006224 yylex_token: end at WS
1789716900.006225 yylex_token: bind
1789716900.006227 yylex_token: end at WS
1789716900.006228 yylex_token: -N
1789716900.006230 yylex_token: end at WS
1789716900.006232 yylex_token: Swap the active pane with the pane below
1789716900.006233 yylex_token: end at WS
1789716900.006235 yylex_token: }
1789716900.006237 yylex_token: end at WS
1789716900.006238 yylex_token: swap-pane
1789716900.006239 yylex_token: end at WS
1789716900.006241 yylex_token: -D
1789716900.006242 cmd_parse_build_commands 0:0: bind
1789716900.006244 cmd_parse_build_commands 0:1: -N
1789716900.006246 cmd_parse_build_commands 0:2: Swap the active pane with the pane below
1789716900.006247 cmd_parse_build_commands 0:3: }
1789716900.006249 cmd_parse_build_commands 0:4 0:0: swap-pane
1789716900.006250 cmd_parse_build_commands 0:4 0:1: -D
1789716900.006252 cmd_parse_build_commands 0:0: swap-pane
1789716900.006253 cmd_parse_build_commands 0:1: -D
1789716900.006256 args_parse_flags: next -D
1789716900.006258 args_parse_flags: -D
1789716900.006259 args_parse: flags end at 2 of 2
1789716900.006262 cmd_parse_build_commands: swap-pane -D
1789716900.006263 args_parse_flags: next -N
1789716900.006269 args_parse_flag_argument: -N = Swap the active pane with the pane below
1789716900.006271 args_parse_flags: next }
1789716900.006272 args_parse: flags end at 3 of 5
1789716900.006273 args_parse: 3 = } (type STRING)
1789716900.006276 args_parse: 4 = swap-pane -D (type COMMANDS)
1789716900.006282 cmd_parse_build_commands: bind-key -N "Swap the active pane with the pane below" \\} { swap-pane -D }
1789716900.006286 cmdq_get_command: [bind-key/0x60e08004e7f0] group 466
1789716900.006289 cmdq_append <global>: [bind-key/0x60e08004e7f0]
1789716900.006312 yylex_token: end at WS
1789716900.006319 yylex_token: bind
1789716900.006322 yylex_token: end at WS
1789716900.006324 yylex_token: -N
1789716900.006327 yylex_token: end at WS
1789716900.006329 yylex_token: Show messages
1789716900.006331 yylex_token: end at WS
1789716900.006332 yylex_token: ~
1789716900.006334 yylex_token: end at WS
1789716900.006336 yylex_token: show-messages
1789716900.006338 cmd_parse_build_commands 0:0: bind
1789716900.006340 cmd_parse_build_commands 0:1: -N
1789716900.006342 cmd_parse_build_commands 0:2: Show messages
1789716900.006343 cmd_parse_build_commands 0:3: ~
1789716900.006349 cmd_parse_build_commands 0:4 0:0: show-messages
1789716900.006351 cmd_parse_build_commands 0:0: show-messages
1789716900.006355 args_parse: flags end at 1 of 1
1789716900.006357 cmd_parse_build_commands: show-messages
1789716900.006359 args_parse_flags: next -N
1789716900.006360 args_parse_flag_argument: -N = Show messages
1789716900.006362 args_parse_flags: next ~
1789716900.006364 args_parse: flags end at 3 of 5
1789716900.006365 args_parse: 3 = ~ (type STRING)
1789716900.006367 args_parse: 4 = show-messages (type COMMANDS)
1789716900.006370 cmd_parse_build_commands: bind-key -N "Show messages" \\~ { show-messages }
1789716900.006373 cmdq_get_command: [bind-key/0x60e08004eb80] group 474
1789716900.006375 cmdq_append <global>: [bind-key/0x60e08004eb80]
1789716900.006377 yylex_token: end at WS
1789716900.006379 yylex_token: bind
1789716900.006380 yylex_token: end at WS
1789716900.006381 yylex_token: -N
1789716900.006384 yylex_token: end at WS
1789716900.006385 yylex_token: Enter copy mode and scroll up
1789716900.006387 yylex_token: end at WS
1789716900.006388 yylex_token: PPage
1789716900.006390 yylex_token: end at WS
1789716900.006391 yylex_token: copy-mode
1789716900.006393 yylex_token: end at WS
1789716900.006394 yylex_token: -u
1789716900.006396 cmd_parse_build_commands 0:0: bind
1789716900.006398 cmd_parse_build_commands 0:1: -N
1789716900.006400 cmd_parse_build_commands 0:2: Enter copy mode and scroll up
1789716900.006401 cmd_parse_build_commands 0:3: PPage
1789716900.006403 cmd_parse_build_commands 0:4 0:0: copy-mode
1789716900.006405 cmd_parse_build_commands 0:4 0:1: -u
1789716900.006406 cmd_parse_build_commands 0:0: copy-mode
1789716900.006408 cmd_parse_build_commands 0:1: -u
1789716900.006410 args_parse_flags: next -u
1789716900.006411 args_parse_flags: -u
1789716900.006413 args_parse: flags end at 2 of 2
1789716900.006415 cmd_parse_build_commands: copy-mode -u
1789716900.006417 args_parse_flags: next -N
1789716900.006419 args_parse_flag_argument: -N = Enter copy mode and scroll up
1789716900.006420 args_parse_flags: next PPage
1789716900.006421 args_parse: flags end at 3 of 5
1789716900.006423 args_parse: 3 = PPage (type STRING)
1789716900.006425 args_parse: 4 = copy-mode -u (type COMMANDS)
1789716900.006428 cmd_parse_build_commands: bind-key -N "Enter copy mode and scroll up" PPage { copy-mode -u }
1789716900.006431 cmdq_get_command: [bind-key/0x60e08004f150] group 482
1789716900.006433 cmdq_append <global>: [bind-key/0x60e08004f150]
1789716900.006435 yylex_token: end at WS
1789716900.006436 yylex_token: bind
1789716900.006438 yylex_token: end at WS
1789716900.006439 yylex_token: -N
1789716900.006441 yylex_token: end at WS
1789716900.006443 yylex_token: Select the pane above the active pane
1789716900.006444 yylex_token: end at WS
1789716900.006445 yylex_token: -r
1789716900.006447 yylex_token: end at WS
1789716900.006448 yylex_token: Up
1789716900.006452 yylex_token: end at WS
1789716900.006454 yylex_token: select-pane
1789716900.006456 yylex_token: end at WS
1789716900.006458 yylex_token: -U
1789716900.006460 cmd_parse_build_commands 0:0: bind
1789716900.006461 cmd_parse_build_commands 0:1: -N
1789716900.006463 cmd_parse_build_commands 0:2: Select the pane above the active pane
1789716900.006464 cmd_parse_build_commands 0:3: -r
1789716900.006466 cmd_parse_build_commands 0:4: Up
1789716900.006468 cmd_parse_build_commands 0:5 0:0: select-pane
1789716900.006469 cmd_parse_build_commands 0:5 0:1: -U
1789716900.006472 cmd_parse_build_commands 0:0: select-pane
1789716900.006473 cmd_parse_build_commands 0:1: -U
1789716900.006475 args_parse_flags: next -U
1789716900.006477 args_parse_flags: -U
1789716900.006478 args_parse: flags end at 2 of 2
1789716900.006480 cmd_parse_build_commands: select-pane -U
1789716900.006482 args_parse_flags: next -N
1789716900.006484 args_parse_flag_argument: -N = Select the pane above the active pane
1789716900.006485 args_parse_flags: next -r
1789716900.006487 args_parse_flags: -r
1789716900.006488 args_parse_flags: next Up
1789716900.006490 args_parse: flags end at 4 of 6
1789716900.006492 args_parse: 4 = Up (type STRING)
1789716900.006493 args_parse: 5 = select-pane -U (type COMMANDS)
1789716900.006497 cmd_parse_build_commands: bind-key -r -N "Select the pane above the active pane" Up { select-pane -U }
1789716900.006500 cmdq_get_command: [bind-key/0x60e08004f8f0] group 490
1789716900.006502 cmdq_append <global>: [bind-key/0x60e08004f8f0]
1789716900.006506 yylex_token: end at WS
1789716900.006508 yylex_token: bind
1789716900.006509 yylex_token: end at WS
1789716900.006511 yylex_token: -N
1789716900.006513 yylex_token: end at WS
1789716900.006515 yylex_token: Select the pane below the active pane
1789716900.006516 yylex_token: end at WS
1789716900.006517 yylex_token: -r
1789716900.006519 yylex_token: end at WS
1789716900.006521 yylex_token: Down
1789716900.006522 yylex_token: end at WS
1789716900.006523 yylex_token: select-pane
1789716900.006525 yylex_token: end at WS
1789716900.006527 yylex_token: -D
1789716900.006529 cmd_parse_build_commands 0:0: bind
1789716900.006531 cmd_parse_build_commands 0:1: -N
1789716900.006532 cmd_parse_build_commands 0:2: Select the pane below the active pane
1789716900.006534 cmd_parse_build_commands 0:3: -r
1789716900.006536 cmd_parse_build_commands 0:4: Down
1789716900.006537 cmd_parse_build_commands 0:5 0:0: select-pane
1789716900.006539 cmd_parse_build_commands 0:5 0:1: -D
1789716900.006541 cmd_parse_build_commands 0:0: select-pane
1789716900.006543 cmd_parse_build_commands 0:1: -D
1789716900.006545 args_parse_flags: next -D
1789716900.006547 args_parse_flags: -D
1789716900.006548 args_parse: flags end at 2 of 2
1789716900.006550 cmd_parse_build_commands: select-pane -D
1789716900.006552 args_parse_flags: next -N
1789716900.006554 args_parse_flag_argument: -N = Select the pane below the active pane
1789716900.006555 args_parse_flags: next -r
1789716900.006556 args_parse_flags: -r
1789716900.006558 args_parse_flags: next Down
1789716900.006560 args_parse: flags end at 4 of 6
1789716900.006561 args_parse: 4 = Down (type STRING)
1789716900.006563 args_parse: 5 = select-pane -D (type COMMANDS)
1789716900.006567 cmd_parse_build_commands: bind-key -r -N "Select the pane below the active pane" Down { select-pane -D }
1789716900.006570 cmdq_get_command: [bind-key/0x60e0800500c0] group 498
1789716900.006571 cmdq_append <global>: [bind-key/0x60e0800500c0]
1789716900.006574 yylex_token: end at WS
1789716900.006575 yylex_token: bind
1789716900.006577 yylex_token: end at WS
1789716900.006579 yylex_token: -N
1789716900.006580 yylex_token: end at WS
1789716900.006582 yylex_token: Select the pane to the left of the active pane
1789716900.006584 yylex_token: end at WS
1789716900.006585 yylex_token: -r
1789716900.006587 yylex_token: end at WS
1789716900.006588 yylex_token: Left
1789716900.006590 yylex_token: end at WS
1789716900.006591 yylex_token: select-pane
1789716900.006593 yylex_token: end at WS
1789716900.006594 yylex_token: -L
1789716900.006598 cmd_parse_build_commands 0:0: bind
1789716900.006600 cmd_parse_build_commands 0:1: -N
1789716900.006602 cmd_parse_build_commands 0:2: Select the pane to the left of the active pane
1789716900.006603 cmd_parse_build_commands 0:3: -r
1789716900.006605 cmd_parse_build_commands 0:4: Left
1789716900.006607 cmd_parse_build_commands 0:5 0:0: select-pane
1789716900.006608 cmd_parse_build_commands 0:5 0:1: -L
1789716900.006610 cmd_parse_build_commands 0:0: select-pane
1789716900.006612 cmd_parse_build_commands 0:1: -L
1789716900.006614 args_parse_flags: next -L
1789716900.006616 args_parse_flags: -L
1789716900.006618 args_parse: flags end at 2 of 2
1789716900.006619 cmd_parse_build_commands: select-pane -L
1789716900.006621 args_parse_flags: next -N
1789716900.006623 args_parse_flag_argument: -N = Select the pane to the left of the active pane
1789716900.006624 args_parse_flags: next -r
1789716900.006626 args_parse_flags: -r
1789716900.006627 args_parse_flags: next Left
1789716900.006629 args_parse: flags end at 4 of 6
1789716900.006630 args_parse: 4 = Left (type STRING)
1789716900.006633 args_parse: 5 = select-pane -L (type COMMANDS)
1789716900.006637 cmd_parse_build_commands: bind-key -r -N "Select the pane to the left of the active pane" Left { select-pane -L }
1789716900.006639 cmdq_get_command: [bind-key/0x60e080050970] group 506
1789716900.006641 cmdq_append <global>: [bind-key/0x60e080050970]
1789716900.006645 yylex_token: end at WS
1789716900.006647 yylex_token: bind
1789716900.006648 yylex_token: end at WS
1789716900.006649 yylex_token: -N
1789716900.006652 yylex_token: end at WS
1789716900.006653 yylex_token: Select the pane to the right of the active pane
1789716900.006655 yylex_token: end at WS
1789716900.006657 yylex_token: -r
1789716900.006658 yylex_token: end at WS
1789716900.006660 yylex_token: Right
1789716900.006662 yylex_token: end at WS
1789716900.006663 yylex_token: select-pane
1789716900.006665 yylex_token: end at WS
1789716900.006666 yylex_token: -R
1789716900.006668 cmd_parse_build_commands 0:0: bind
1789716900.006669 cmd_parse_build_commands 0:1: -N
1789716900.006671 cmd_parse_build_commands 0:2: Select the pane to the right of the active pane
1789716900.006673 cmd_parse_build_commands 0:3: -r
1789716900.006674 cmd_parse_build_commands 0:4: Right
1789716900.006676 cmd_parse_build_commands 0:5 0:0: select-pane
1789716900.006678 cmd_parse_build_commands 0:5 0:1: -R
